,vd,ad,X,ad_rank,Y,Z,GCI,F,vd_ad_ratio,log_X,log_vd_ad_ratio,log_ad,log_vd,log_Y
AD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,26.38,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AE,1.516622179082747,0.0,0.0056873331715603,77.0,69.23076923076923,53.325,98.06,3691.730769230769,1516622.179082747,0.005671221352249192,14.231996828715687,0.0,0.9229175972509169,4.251786523133432
AF,0.0497286877389991,0.0497286877389991,0.0001864825790212,54.0,78.5425101214575,50.0,5.2,3927.125506072875,0.9999798912873684,0.0001864651933064492,0.6931371261530841,0.048531738150780046,0.048531738150780046,4.376291597258186
AG,10.211584020913325,0.0,0.0382934400784249,77.0,69.23076923076923,100.0,15.62,6923.076923076923,10211584.020913325,0.03757844236300481,16.139033420101196,0.0,2.4169475313757194,4.251786523133432
AI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AL,0.7047854580206876,0.3523927290103438,0.0026429454675775,22.0,91.49797570850204,75.0,64.32,6862.348178137653,1.9999943245301057,0.002639459028832466,1.098610396843022,0.30187541547685115,0.533439271745176,4.527186760046506
AM,2.024814780067993,0.6749382600226644,0.0075930554252549,16.0,93.92712550607288,66.67500000000001,50.47,6262.59109311741,2.999995555155585,0.00756437327849663,1.3862932499081695,0.5157763049097333,1.1068498598785992,4.553109497292759
AO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.99,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AR,0.286490246120024,0.1763016899200148,0.00107433842295,34.0,86.63967611336032,76.925,50.12,6664.757085020243,1.6249907828972956,0.0010737617344286205,0.9650773847602018,0.16237535562355207,0.2519177709931,4.473233819071878
AS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AT,0.7849993355541338,0.1121427622220191,0.002943747508328,44.0,82.5910931174089,64.275,93.89,5308.542510121458,6.999937580121611,0.0029394231680636086,2.079433739164598,0.10628857088114357,0.5794180429929526,4.425936972756902
AU,6.773843666929173,0.5060917682188463,0.0254019137509843,18.0,93.1174089068826,53.150000000000006,97.47,4949.190283400811,13.384588937655012,0.02508464671152249,2.6661574208326173,0.4095180625935108,2.0507647224939936,4.544543033804083
AW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AX,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
AZ,0.5934650007972213,0.1978216669324071,0.0022254937529895,31.0,87.85425101214575,50.0,89.31,4392.712550607288,2.9999848349026603,0.002223021009803958,1.3862905698383687,0.18050462962468478,0.4659108909046605,4.486997398274881
BA,0.3048023128399498,0.0,0.0011430086731498,77.0,69.23076923076923,50.0,29.44,3461.538461538461,304802.3128399498,0.0011423559360784269,12.627421971633035,0.0,0.2660515448859025,4.251786523133432
BB,0.0,0.0,0.0,77.0,69.23076923076923,0.0,16.89,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BD,0.0425042578488499,0.0242881473421999,0.0001593909669331,67.0,73.27935222672065,85.725,81.27,6281.872469635627,1.749927951361352,0.0001593782655425701,1.011574711830304,0.023997880922348377,0.041625758949960776,4.3078330157507425
BE,1.5576328031237807,0.1730703114581978,0.0058411230117141,36.0,85.82995951417004,52.77499999999999,96.25,4529.676113360323,8.999947998313969,0.005824129793569731,2.3025798928119214,0.1596245094420055,0.9390821444256077,4.463951717806984
BF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,39.98,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
