country_code,vd,ad,X,ad_rank,Y,Z,GCI
AF,0.0497286877389991,0.0497286877389991,0.2186682646153072,52.0,29.166666666666668,5.303030303030307,5.2
AL,0.7047854580206876,0.3523927290103438,3.099100741213127,21.0,72.22222222222223,52.65151515151515,64.32
AM,2.024814780067993,0.6749382600226644,8.903567623757382,15.0,80.55555555555556,36.88446969696971,50.47
AR,0.286490246120024,0.1763016899200148,1.2597622780049416,33.0,55.55555555555556,56.29734848484848,50.12
AT,0.7849993355541338,0.1121427622220191,3.451819266390451,42.0,43.05555555555556,32.33901515151516,93.89
AU,6.773843666929173,0.5060917682188463,29.786119577435777,17.0,77.77777777777777,11.268939393939409,97.47
AZ,0.5934650007972213,0.1978216669324071,2.609599563844479,30.0,59.72222222222222,5.303030303030307,89.31
BD,0.0425042578488499,0.0242881473421999,0.1869008157092509,65.0,11.11111111111111,72.96401515151516,81.27
BE,1.5576328031237807,0.1730703114581978,6.849263020062332,35.0,52.77777777777778,10.558712121212125,96.25
BG,0.5774265484559037,0.4330699113419278,2.539074868742966,19.0,75.0,28.97727272727273,67.38
BR,0.0705685063322696,0.0235228354440898,0.310305650878257,68.0,6.944444444444445,43.18181818181818,96.6
BZ,5.02991542197218,7.544873132958269,22.117673449521934,1.0,100.0,5.303030303030307,10.29
CA,9.99862176892564,0.5788675760956951,43.9661967802372,16.0,79.16666666666667,9.517045454545462,97.67
CL,0.3138697636126493,0.0523116272687748,1.3801561964517692,50.0,31.944444444444443,21.070075757575754,68.83
CN,0.0499246850465583,0.044219006755523,0.2195301090166352,53.0,27.77777777777778,12.07386363636364,92.53
CO,0.0589589222183239,0.0196529740727746,0.2592556890448374,69.0,5.555555555555555,5.303030303030307,63.72
DE,0.6847626201300389,0.0240267586010539,3.011055803506313,67.0,8.333333333333334,18.607954545454543,97.41
DK,2.057823467556012,0.171485288963001,9.04871427327521,36.0,51.388888888888886,13.210227272727284,92.6
EE,3.0051305090615954,1.5025652545307977,13.214237158397216,5.0,94.44444444444444,52.65151515151515,99.48
EG,0.0586313089645913,0.0097718848274318,0.2578150996201842,72.0,1.3888888888888888,36.88446969696971,95.48
ET,0.0260952200837373,0.0086984066945791,0.1147465728517572,73.0,0.0,5.303030303030307,27.74
FR,0.5193526989765577,0.0296772970843747,2.283711044307675,61.0,16.666666666666668,2.60416666666667,97.6
GB,8.807519443529019,0.7290007647515574,38.728651003024254,12.0,84.72222222222223,11.363636363636372,99.54
GH,0.1287293495997885,0.0321823373999471,0.56605200663615,60.0,18.05555555555556,5.303030303030307,86.69
HK,2.5330969109549777,0.133320890050262,11.138598881356064,38.0,48.61111111111112,5.303030303030307,
ID,0.0548398706669651,0.0329039224001791,0.241143289632169,59.0,19.444444444444443,24.24242424242425,94.88
IE,14.214999667649304,0.4004225258492761,62.506562110512775,20.0,73.61111111111111,9.327651515151526,85.86
IL,5.533313803990496,0.4339853963914114,24.331229760998298,18.0,76.38888888888889,25.71022727272727,90.93
IN,0.1094199421692417,0.0101448953004594,0.4811441836960272,71.0,2.7777777777777777,27.88825757575757,97.5
IR,0.1190576071304458,0.226209453547847,0.5235231719185037,28.0,62.5,24.24242424242425,81.07
IS,5.458142866889541,2.7290714334447705,24.00068618318172,3.0,97.22222222222224,5.303030303030307,79.81
IT,0.1847062456217273,0.0503744306241074,0.8121950534004727,51.0,30.55555555555556,13.92045454545455,96.13
JM,1.013116139244033,0.3377053797480109,4.4549003421322055,22.0,70.83333333333333,36.88446969696971,32.53
JO,0.294027132823817,0.0980090442746056,1.2929036700475092,43.0,41.66666666666666,36.88446969696971,70.96
JP,0.5403858089250931,0.0158937002625027,2.3761983762889347,70.0,4.166666666666667,10.890151515151516,97.82
KH,0.1196245869437778,0.1196245869437778,0.5260163101348976,39.0,47.22222222222222,52.65151515151515,19.12
KP,0.1551661703612055,0.8922054795769317,0.6823006747728599,9.0,88.88888888888889,28.97727272727273,1.35
KR,1.0235497752931653,0.1158735594671508,4.500779394892775,40.0,45.833333333333336,17.803030303030308,98.52
KZ,0.3732449489294268,0.0533207069899181,1.6412422882983049,49.0,33.333333333333336,18.84469696969697,93.15
LT,2.1469209575267474,0.7156403191755824,9.440496047524633,13.0,83.33333333333333,5.303030303030307,97.93
MA,0.0541850383296833,0.0270925191648416,0.2382638440381301,63.0,13.88888888888889,5.303030303030307,82.41
MD,0.7639944686800467,0.7639944686800467,3.3594561255824926,11.0,86.11111111111111,5.303030303030307,75.78
MR,0.2150694889518803,0.2150694889518803,0.9457090878335576,29.0,61.11111111111112,5.303030303030307,18.94
MX,0.1008277547598785,0.0077559811353752,0.4433623962514032,74.0,-1.3888888888888888,19.886363636363637,81.68
MY,0.3398628400088265,0.0617932436379684,1.4944536204537238,48.0,34.72222222222222,31.107954545454547,98.06
NG,0.0242554090301927,0.0242554090301927,0.1066565083720715,66.0,9.72222222222222,5.303030303030307,11.38
NL,1.5610178773170833,0.2401565965103205,6.864147955360214,27.0,63.888888888888886,8.948863636363638,97.05
NZ,20.848494384674392,1.1801034557362862,91.6755356760292,7.0,91.66666666666669,10.65340909090909,84.04
PE,0.181973432728031,0.0909867163640155,0.8001782582636433,45.0,38.888888888888886,68.4185606060606,55.67
PH,0.1460106002783236,0.0365026500695809,0.6420415665475379,56.0,23.61111111111111,46.73295454545455,77.0
PK,0.072433478915119,0.1901378821521875,0.3185063562816893,32.0,56.94444444444444,34.895833333333336,64.88
PL,0.2107992342296218,0.0263499042787027,0.9269318139492664,64.0,12.5,5.303030303030307,93.86
PR,2.8177533488998554,0.3130837054333172,12.390297490892593,23.0,69.44444444444444,5.303030303030307,
PS,0.624574638647138,1.249149277294276,2.7463956634551474,6.0,93.05555555555556,100.0,25.18
PT,0.2911048827604195,0.0970349609201398,1.2800538769162504,44.0,40.27777777777778,5.303030303030307,97.32
RO,0.2592537649998395,0.8296120479994864,1.1399973227735247,10.0,87.5,24.24242424242425,76.29
RS,0.2895100100981091,0.2895100100981091,1.2730408618296627,25.0,66.66666666666667,5.303030303030307,89.8
RU,0.2151222921654959,6.072000182090611,0.945941275482426,2.0,98.61111111111111,26.70454545454546,98.06
SA,0.1148967450240445,0.1148967450240445,0.5052269220579464,41.0,44.44444444444444,76.32575757575758,99.54
SE,1.448793550975608,0.1931724734634144,6.370672261460751,31.0,58.333333333333336,11.600378787878784,94.55
SG,4.748666284311092,0.175876529048559,20.88095750841998,34.0,54.16666666666666,19.318181818181827,98.52
SY,0.6285478310899985,2.1713470528563588,2.763866687444819,4.0,95.83333333333331,31.107954545454547,22.14
TH,0.2435530853605713,0.0429799562401008,1.0709578904840782,54.0,26.38888888888889,10.890151515151516,86.5
TM,0.6632193629545892,0.1658048407386473,2.9163252390192382,37.0,50.0,36.88446969696971,14.48
TN,0.0846122617720616,0.0846122617720616,0.3720592134660903,47.0,36.11111111111112,5.303030303030307,86.23
TR,0.3201363372919456,0.3082794359107624,1.407711735393953,24.0,68.05555555555556,33.38068181818182,
TW,0.9785839456325992,0.0850942561419651,4.303054492307976,46.0,37.5,17.66098484848485,
UA,0.4305003322442959,0.7023952789249038,1.893007132266388,14.0,81.94444444444444,45.17045454545456,65.93
US,22.741611740727183,1.001565711255835,100.0,8.0,90.27777777777776,0.0,100.0
UY,0.2878752417792187,0.2878752417792187,1.2658524165359513,26.0,65.27777777777777,100.0,75.15
UZ,0.0876371704294659,0.0292123901431553,0.3853604196070213,62.0,15.27777777777778,5.303030303030307,71.11
VE,0.2110005636176721,0.0351667606029453,0.9278171047120566,57.0,22.22222222222222,100.0,27.06
VN,0.0513670925330811,0.0410936740264649,0.2258727003112515,55.0,25.0,24.24242424242425,94.59
YE,0.0335278305133298,0.0335278305133298,0.1474294385797025,58.0,20.83333333333333,100.0,
