Column,DataType
action.environmental.notes,object
action.environmental.variety.Deterioration,bool
action.environmental.variety.Earthquake,bool
action.environmental.variety.EMI,bool
action.environmental.variety.ESD,bool
action.environmental.variety.Fire,bool
action.environmental.variety.Flood,bool
action.environmental.variety.Hazmat,bool
action.environmental.variety.Humidity,bool
action.environmental.variety.Hurricane,bool
action.environmental.variety.Ice,bool
action.environmental.variety.Landslide,bool
action.environmental.variety.Leak,bool
action.environmental.variety.Lightning,bool
action.environmental.variety.Meteorite,bool
action.environmental.variety.Other,bool
action.environmental.variety.Particulates,bool
action.environmental.variety.Pathogen,bool
action.environmental.variety.Power failure,bool
action.environmental.variety.Temperature,bool
action.environmental.variety.Tornado,bool
action.environmental.variety.Tsunami,bool
action.environmental.variety.Unknown,bool
action.environmental.variety.Vermin,bool
action.environmental.variety.Volcano,bool
action.environmental.variety.Wind,bool
action.error.notes,object
action.error.variety.Capacity shortage,bool
action.error.variety.Classification error,bool
action.error.variety.Data entry error,bool
action.error.variety.Disposal error,bool
action.error.variety.Gaffe,bool
action.error.variety.Loss,bool
action.error.variety.Maintenance error,bool
action.error.variety.Malfunction,bool
action.error.variety.Misconfiguration,bool
action.error.variety.Misdelivery,bool
action.error.variety.Misinformation,bool
action.error.variety.Other,bool
action.error.variety.Physical accidents,bool
action.error.variety.Programming error,bool
action.error.variety.Publishing error,bool
action.error.variety.Unknown,bool
action.error.vector.Carelessness,bool
action.error.vector.Inadequate personnel,bool
action.error.vector.Inadequate processes,bool
action.error.vector.Inadequate technology,bool
action.error.vector.Other,bool
action.error.vector.Random error,bool
action.error.vector.Unknown,bool
action.error.vector.Web application,bool
action.hacking.cve,object
action.hacking.notes,object
action.hacking.result.Deploy payload,bool
action.hacking.result.Elevate,bool
action.hacking.result.Exfiltrate,bool
action.hacking.result.Infiltrate,bool
action.hacking.result.Lateral movement,bool
action.hacking.result.NA,bool
action.hacking.result.Other,bool
action.hacking.result.Persist,bool
action.hacking.result.Unknown,bool
action.hacking.variety.Abuse of functionality,bool
action.hacking.variety.AitM,bool
action.hacking.variety.Backdoor,bool
action.hacking.variety.Brute force,bool
action.hacking.variety.Buffer overflow,bool
action.hacking.variety.Cache poisoning,bool
action.hacking.variety.Cryptanalysis,bool
action.hacking.variety.CSRF,bool
action.hacking.variety.Disable controls,bool
action.hacking.variety.DoS,bool
action.hacking.variety.Evade Defenses,bool
action.hacking.variety.Exploit misconfig,bool
action.hacking.variety.Exploit vuln,bool
action.hacking.variety.Forced browsing,bool
action.hacking.variety.Format string attack,bool
action.hacking.variety.Fuzz testing,bool
action.hacking.variety.Hijack,bool
action.hacking.variety.HTTP request smuggling,bool
action.hacking.variety.HTTP request splitting,bool
action.hacking.variety.HTTP response smuggling,bool
action.hacking.variety.HTTP response splitting,bool
action.hacking.variety.Insecure deserialization,bool
action.hacking.variety.Integer overflows,bool
action.hacking.variety.LDAP injection,bool
action.hacking.variety.Mail command injection,bool
action.hacking.variety.Null byte injection,bool
action.hacking.variety.Offline cracking,bool
action.hacking.variety.OS commanding,bool
action.hacking.variety.Other,bool
action.hacking.variety.Pass-the-hash,bool
action.hacking.variety.Path traversal,bool
action.hacking.variety.Profile host,bool
action.hacking.variety.Reverse engineering,bool
action.hacking.variety.RFI,bool
action.hacking.variety.Routing detour,bool
action.hacking.variety.Scan network,bool
action.hacking.variety.Session fixation,bool
action.hacking.variety.Session prediction,bool
action.hacking.variety.Session replay,bool
action.hacking.variety.Soap array abuse,bool
action.hacking.variety.Special element injection,bool
action.hacking.variety.SQLi,bool
action.hacking.variety.SSI injection,bool
action.hacking.variety.Unknown,bool
action.hacking.variety.URL redirector abuse,bool
action.hacking.variety.Use of stolen creds,bool
action.hacking.variety.User breakout,bool
action.hacking.variety.Virtual machine escape,bool
action.hacking.variety.XML attribute blowup,bool
action.hacking.variety.XML entity expansion,bool
action.hacking.variety.XML external entities,bool
action.hacking.variety.XML injection,bool
action.hacking.variety.XPath injection,bool
action.hacking.variety.XQuery injection,bool
action.hacking.variety.XSS,bool
action.hacking.vector.3rd party desktop,bool
action.hacking.vector.Backdoor,bool
action.hacking.vector.Command shell,bool
action.hacking.vector.Desktop sharing,bool
action.hacking.vector.Desktop sharing software,bool
action.hacking.vector.Hypervisor,bool
action.hacking.vector.Inter-tenant,bool
action.hacking.vector.Other,bool
action.hacking.vector.Other network service,bool
action.hacking.vector.Partner,bool
action.hacking.vector.Physical access,bool
action.hacking.vector.Unknown,bool
action.hacking.vector.VPN,bool
action.hacking.vector.Web application,bool
action.malware.cve,object
action.malware.name,object
action.malware.notes,object
action.malware.result.Deploy payload,bool
action.malware.result.Elevate,bool
action.malware.result.Exfiltrate,bool
action.malware.result.Infiltrate,bool
action.malware.result.Lateral movement,bool
action.malware.result.NA,bool
action.malware.result.Other,bool
action.malware.result.Persist,bool
action.malware.result.Unknown,bool
action.malware.variety.Adminware,bool
action.malware.variety.Adware,bool
action.malware.variety.AitM,bool
action.malware.variety.Backdoor,bool
action.malware.variety.Backdoor or C2,bool
action.malware.variety.Brute force,bool
action.malware.variety.C2,bool
action.malware.variety.Capture app data,bool
action.malware.variety.Capture stored data,bool
action.malware.variety.Click fraud,bool
action.malware.variety.Click fraud and cryptocurrency mining,bool
action.malware.variety.Client-side attack,bool
action.malware.variety.Cryptocurrency mining,bool
action.malware.variety.Destroy data,bool
action.malware.variety.Disable controls,bool
action.malware.variety.DoS,bool
action.malware.variety.Downloader,bool
action.malware.variety.Evade Defenses,bool
action.malware.variety.Exploit misconfig,bool
action.malware.variety.Exploit vuln,bool
action.malware.variety.Export data,bool
action.malware.variety.In-memory,bool
action.malware.variety.Modify data,bool
action.malware.variety.Other,bool
action.malware.variety.Packet sniffer,bool
action.malware.variety.Pass-the-hash,bool
action.malware.variety.Password dumper,bool
action.malware.variety.Profile host,bool
action.malware.variety.RAM scraper,bool
action.malware.variety.Ransomware,bool
action.malware.variety.RAT,bool
