,victim_count,external_count
DM,0,0
BS,5,0
BL,0,0
NO,8,0
TM,4,1
GN,0,0
FM,0,0
GR,1,0
MA,2,1
LU,2,0
MU,0,0
PL,8,1
YE,1,1
CI,0,0
GU,1,0
LT,6,2
GW,0,0
GF,0,0
AR,13,8
GY,0,0
MN,0,0
HU,2,0
KE,10,0
NE,0,0
SZ,2,0
TG,0,0
TR,27,26
MQ,0,0
TT,1,0
UA,19,31
ML,1,0
MG,0,0
MP,0,0
KI,0,0
KH,2,2
TH,17,3
ZM,1,0
KR,53,6
SO,0,0
CF,0,0
ES,24,0
VN,5,4
GA,3,0
BZ,2,3
RW,1,0
TO,0,0
CZ,10,0
YT,0,0
CX,0,0
ZW,4,0
BI,0,0
KP,4,23
AW,0,0
LI,0,0
LK,2,0
JM,3,1
LS,0,0
MD,2,2
PR,9,1
SI,1,0
ST,0,0
TL,1,0
LB,3,0
GH,4,1
SD,1,0
MF,0,0
DE,57,2
FK,0,0
RE,0,0
SL,0,0
MK,1,0
TZ,1,0
BV,0,0
AM,6,2
TD,0,0
IT,11,3
PK,16,42
DO,0,0
MX,13,1
PS,3,6
GI,0,0
TC,0,1
KG,0,0
BB,0,0
GT,2,0
MR,1,1
PM,0,0
AX,0,0
GM,0,0
AD,0,0
SA,4,4
MM,0,0
MW,0,0
NC,0,0
JO,3,1
LA,0,0
PF,0,0
VA,0,0
AI,0,0
MY,11,2
GP,0,0
UM,8,0
NR,0,0
BH,2,0
VC,0,0
SJ,0,0
DZ,1,0
MT,2,0
BR,15,5
Unknown,219,4236
BT,0,0
CH,19,0
HM,0,0
CU,0,0
IM,1,0
AU,174,13
CM,0,0
EG,6,1
KM,0,0
CO,3,1
GG,0,0
HN,3,0
LV,3,0
UZ,3,1
AT,7,1
SE,15,2
GD,0,0
MO,0,0
SB,0,0
TJ,2,0
CW,1,0
BQ,0,0
CG,1,0
HR,1,0
SH,0,0
PG,0,0
ME,1,0
AE,15,0
UG,1,0
DK,12,1
GL,0,0
TF,0,0
BJ,0,0
PN,0,0
BN,1,0
CY,6,0
PY,2,0
SN,0,0
LR,0,0
GS,0,0
PT,3,1
ET,3,1
EC,5,0
BD,7,4
NF,0,0
FI,9,0
SC,0,0
MC,1,0
IE,71,2
IL,51,4
OM,3,0
KW,1,0
PH,16,4
AG,1,0
SY,11,38
AZ,6,2
GE,2,0
LC,0,0
IS,2,1
ER,0,0
PA,5,0
RU,31,875
CN,70,62
QA,3,0
UY,1,1
AO,0,0
BM,0,0
CC,0,0
KN,0,0
KY,1,0
CR,3,0
MV,0,0
MS,0,0
SR,0,0
CD,0,0
IN,151,14
XK,0,0
BG,4,3
IR,10,19
NL,26,4
IQ,1,0
JP,68,2
CV,0,0
EE,4,2
AS,0,0
GB,592,49
SK,3,0
FO,0,0
SX,0,0
VU,0,0
VE,6,1
BO,2,0
BY,4,0
RO,5,16
HT,1,0
WS,0,0
SM,0,0
CK,7,0
NI,0,0
VG,0,0
ZA,25,0
NA,2,0
VI,2,0
CL,6,1
MZ,1,0
NZ,106,6
ID,15,9
BA,1,0
NG,5,5
SG,27,1
PE,6,3
MH,0,0
DJ,0,0
HK,19,1
KZ,7,1
CA,380,22
EH,0,0
AL,2,1
PW,0,0
WF,0,0
NU,0,0
AQ,0,0
NP,2,0
SS,0,0
GQ,0,0
TN,1,1
Other,0,5
US,7493,330
RS,2,2
BW,2,0
FJ,0,0
BE,18,2
FR,35,2
JE,0,0
LY,0,1
SV,0,0
TV,0,0
AF,2,2
TK,0,0
TW,23,2
BF,0,0
IO,0,0
