total_attacks,total_score,Z_value
15,320,21.33
2,40,20.0
1,40,40.0
2,60,30.0
6,160,26.67
13,400,30.77
7,180,25.71
174,3700,21.26
6,120,20.0
1,20,20.0
7,240,34.29
18,380,21.11
4,100,25.0
2,60,30.0
1,20,20.0
2,80,40.0
15,420,28.0
5,120,24.0
2,40,20.0
4,80,20.0
2,40,20.0
380,7940,20.89
1,20,20.0
19,360,18.95
7,280,40.0
6,140,23.33
70,1500,21.43
3,60,20.0
3,100,33.33
1,20,20.0
6,140,23.33
10,220,22.0
57,1300,22.81
12,260,21.67
1,20,20.0
5,140,28.0
4,120,30.0
6,160,26.67
24,540,22.5
3,60,20.0
9,240,26.67
35,680,19.43
3,80,26.67
592,12600,21.28
2,40,20.0
4,80,20.0
1,20,20.0
2,20,10.0
1,40,40.0
19,380,20.0
3,120,40.0
1,20,20.0
1,20,20.0
2,40,20.0
15,360,24.0
71,1480,20.85
51,1240,24.31
1,20,20.0
151,3740,24.77
1,20,20.0
10,240,24.0
2,40,20.0
11,240,21.82
3,80,26.67
3,80,26.67
68,1440,21.18
10,300,30.0
2,60,30.0
4,100,25.0
53,1200,22.64
1,20,20.0
1,20,20.0
7,160,22.86
3,60,20.0
2,0,0.0
6,120,20.0
2,60,30.0
3,60,20.0
2,40,20.0
1,20,20.0
2,40,20.0
1,20,20.0
1,20,20.0
1,20,20.0
1,20,20.0
2,40,20.0
13,300,23.08
11,280,25.45
1,20,20.0
2,60,30.0
5,100,20.0
26,540,20.77
8,160,20.0
2,40,20.0
106,2240,21.13
3,60,20.0
5,100,20.0
6,200,33.33
16,460,28.75
16,420,26.25
8,160,20.0
9,180,20.0
3,120,40.0
3,60,20.0
2,60,30.0
3,40,13.33
5,120,24.0
2,40,20.0
31,760,24.52
1,40,40.0
4,140,35.0
1,20,20.0
15,320,21.33
27,620,22.96
1,20,20.0
3,60,20.0
11,280,25.45
2,60,30.0
17,360,21.18
1,20,20.0
1,20,20.0
3,80,26.67
1,20,20.0
27,700,25.93
1,20,20.0
23,520,22.61
1,20,20.0
19,540,28.42
1,20,20.0
8,180,22.5
7492,141460,18.88
1,40,40.0
2,40,20.0
219,4800,21.92
6,240,40.0
2,60,30.0
5,120,24.0
1,40,40.0
25,480,19.2
1,40,40.0
4,80,20.0
