country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
AD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,26.38,0.0
AE,1.516622179082747,0.0,0.0056873331715603,77.0,69.23076923076923,53.325,98.06,3691.730769230769
AF,0.0497286877389991,0.0497286877389991,0.0001864825790212,54.0,78.5425101214575,50.0,5.2,3927.125506072875
AG,10.211584020913325,0.0,0.0382934400784249,77.0,69.23076923076923,100.0,15.62,6923.076923076923
AI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
AL,0.7047854580206876,0.3523927290103438,0.0026429454675775,22.0,91.49797570850204,75.0,64.32,6862.348178137653
AM,2.024814780067993,0.6749382600226644,0.0075930554252549,16.0,93.92712550607288,66.67500000000001,50.47,6262.59109311741
AO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.99,0.0
AQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
AR,0.286490246120024,0.1763016899200148,0.00107433842295,34.0,86.63967611336032,76.925,50.12,6664.757085020243
AS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
AT,0.7849993355541338,0.1121427622220191,0.002943747508328,44.0,82.5910931174089,64.275,93.89,5308.542510121458
AU,6.773843666929173,0.5060917682188463,0.0254019137509843,18.0,93.1174089068826,53.150000000000006,97.47,4949.190283400811
AW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
AX,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
AZ,0.5934650007972213,0.1978216669324071,0.0022254937529895,31.0,87.85425101214575,50.0,89.31,4392.712550607288
BA,0.3048023128399498,0.0,0.0011430086731498,77.0,69.23076923076923,50.0,29.44,3461.5384615384614
BB,0.0,0.0,0.0,77.0,69.23076923076923,0.0,16.89,0.0
BD,0.0425042578488499,0.0242881473421999,0.0001593909669331,67.0,73.27935222672065,85.725,81.27,6281.872469635627
BE,1.5576328031237807,0.1730703114581978,0.0058411230117141,36.0,85.82995951417004,52.77499999999999,96.25,4529.676113360323
BF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,39.98,0.0
BG,0.5774265484559037,0.4330699113419278,0.0021653495567096,20.0,92.3076923076923,62.5,67.38,5769.2307692307695
BH,1.1753761056616103,0.0,0.004407660396231,77.0,69.23076923076923,75.0,77.86,5192.307692307692
BI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0
BJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,80.06,0.0
BL,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
BM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
BN,2.285803105492099,0.0,0.0085717616455953,77.0,69.23076923076923,50.0,56.07,3461.5384615384614
BO,0.1713351350365016,0.0,0.0006425067563868,77.0,69.23076923076923,100.0,16.14,6923.076923076923
BQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
BR,0.0705685063322696,0.0235228354440898,0.000264631898746,70.0,72.06477732793522,70.0,96.6,5044.534412955465
BS,12.714622833428267,0.0,0.047679835625356,77.0,69.23076923076923,60.0,13.37,4153.846153846153
BT,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.34,0.0
BV,,,,,,0.0,,
BW,0.8504757348641896,0.0,0.0031892840057407,77.0,69.23076923076923,50.0,53.06,3461.5384615384614
BY,0.4255834829347939,0.0,0.0015959380610054,77.0,69.23076923076923,50.0,50.57,3461.5384615384614
BZ,5.02991542197218,7.544873132958269,0.0188621828323956,2.0,99.59514170040484,50.0,10.29,4979.757085020242
CA,9.99862176892564,0.5788675760956951,0.0374948316334711,17.0,93.52226720647774,52.225,97.67,4884.2004048583
CC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
CD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
CF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,3.24,0.0
CG,0.176772140710624,0.0,0.0006628955276648,77.0,69.23076923076923,50.0,14.72,3461.5384615384614
CH,2.195358734327161,0.0,0.0082325952537268,77.0,69.23076923076923,47.375,86.97,3279.807692307692
CI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,67.82,0.0
CK,386.7403314917127,0.0,1.450276243093923,77.0,69.23076923076923,100.0,,6923.076923076923
CL,0.3138697636126493,0.0523116272687748,0.0011770116135474,52.0,79.35222672064778,58.325,68.83,4628.218623481782
CM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,45.63,0.0
